fips,perc_foreign_born
39001,0.004711466931170073
39003,0.012443438914027148
39005,0.01925210099832672
39007,0.013650440482275475
39009,0.04347893003355188
39011,0.011313844745274998
39013,0.010681426106958021
39015,0.0058987049969489455
39017,0.05233828495348126
39019,0.00927329783858115
39021,0.0070063209199603994
39023,0.02107040277138284
39025,0.02286741393514242
39027,0.010407715076864318
39029,0.009501165237246078
39031,0.005255418799695022
39033,0.009432416617905207
39035,0.07052230505490469
39037,0.009645503858201543
39039,0.01761100623238253
39041,0.060916881029805914
39043,0.016679581303108707
39045,0.027797896882879983
39047,0.015363759602349751
39049,0.09753068242853653
39051,0.01645286571731199
39053,0.01168002617372812
39055,0.027323859641647314
39057,0.0485041902163321
39059,0.00921112400948872
39061,0.04989219019291365
39063,0.028663095932544944
39065,0.013139652130073103
39067,0.004029936672423719
39069,0.014206674995538104
39071,0.007458883483900857
39073,0.008853842429273017
39075,0.009324062989225527
39077,0.028182635695742912
39079,0.009526998234613745
39081,0.012651903663321236
39083,0.013966297291980853
39085,0.05728805728805729
39087,0.004512591586200204
39089,0.018963442466492387
39091,0.01378506727640489
39093,0.02765939198817755
39095,0.034229509399189936
39097,0.0156710235640648
39099,0.028940524408441696
39101,0.013466175333242346
39103,0.027735355857942814
39105,0.0037489881992076
39107,0.00827154149230355
39109,0.016229218389250073
39111,0.001374853921770812
39113,0.04129173434651709
39115,0.005364447126668008
39117,0.004886272716881929
39119,0.011137462797619048
39121,0.007168458781362007
39123,0.008405811185073612
39125,0.013253326376206626
39127,0.004968771686328938
39129,0.007307794390869681
39131,0.005810677560219749
39133,0.037326201226705866
39135,0.010532124178302385
39137,0.01079452375380295
39139,0.014373078684021191
39141,0.00910336979853622
39143,0.013674049213285262
39145,0.010292628529679429
39147,0.011478839242611168
39149,0.017058308027798723
39151,0.020358473407844174
39153,0.04598530581511017
39155,0.015811176849684794
39157,0.01325824999730304
39159,0.03256031419487563
39161,0.006159014557670772
39163,0.0018135106543750944
39165,0.058545080849051453
39167,0.013561311144072632
39169,0.01984900884971093
39171,0.013427486224790027
39173,0.03379757147844978
39175,0.009658610406373792
1007,0.011104229339939833
1009,0.0414659504418645
1011,0.05366173440719236
1013,0.007074776456716125
1015,0.02560695425553803
1017,0.01059303383315238
1019,0.010035373731159643
1021,0.0532417444487551
1023,0.0015677491601343784
1025,0.0050259274032708415
1027,0.021422767230553297
1029,0.015397946940407945
1031,0.04241018787831145
1033,0.018606274336933362
1035,0.010182666148464827
1037,0.017865239865783984
1039,0.010742754579528058
1041,0.023532788061414837
1043,0.024652627678626568
1045,0.03240685035896202
1047,0.007875883664658159
1049,0.07601170709742781
1051,0.02104924284635291
1053,0.005667589297482536
1055,0.026945242179519303
1057,0.004498106060606061
1059,0.08819624454700639
1061,0.027223568898004848
1063,0.0021846613774864896
1065,0.00957000524383849
1067,0.014491073498724786
1069,0.02387621457685398
